id_newsdesertsphysical,outlet_name_newsdesertsphysical,state_newsdesertsphysical,city_newsdesertsphysical,county_newsdesertsphysical,owner_id_newsdesertsphysical,owner_newsdesertsphysical,owner_type_newsdesertsphysical,frequency_newsdesertsphysical,total_circulation_newsdesertsphysical,days_published_newsdesertsphysical,ethnic_media_newsdesertsphysical,url_cleaned
NP1974,Beverly News,IL,Midlothian,Cook,OW0930,Southwest Messenger Press,Private,W,4080.0,1.0,No,patch.com/massachusetts/beverly
NP2467,Worth Citizen,IL,Midlothian,Cook,OW0930,Southwest Messenger Press,Private,W,9529.0,1.0,No,southwestmessengerpress.com/category/news/news-worth-citizen
NP2313,Palos Citizen,IL,Midlothian,Cook,OW0930,Southwest Messenger Press,Private,W,5050.0,1.0,No,southwestmessengerpress.com/category/news/news-palos-citizen
NP2261,Mount Greenwood Express,IL,Midlothian,Cook,OW0930,Southwest Messenger Press,Private,W,9529.0,1.0,No,southwestmessengerpress.com/category/news/news-mount-greenwood-express
NP2246,Midlothian-Bremen Messenger,IL,Midlothian,Cook,OW0930,Southwest Messenger Press,Private,W,11306.0,1.0,No,southwestmessengerpress.com/category/featured/featured-midlothian-bremen-messenger
NP2165,Hickory Hills Citizen,IL,Midlothian,Cook,OW0930,Southwest Messenger Press,Private,W,3930.0,1.0,No,southwestmessengerpress.com/category/news/news-palos-citizen
NP2088,Evergreen Park Courier,IL,Midlothian,Cook,OW0930,Southwest Messenger Press,Private,W,9529.0,1.0,No,southwestmessengerpress.com/category/news/news-evergreen-park-courier
NP2012,Chicago Ridge Citizen,IL,Midlothian,Cook,OW0930,Southwest Messenger Press,Private,W,3515.0,1.0,No,southwestmessengerpress.com/category/news/news-chicago-ridge-citizen
NP1986,Bridgeview Independent,IL,Midlothian,Cook,OW0930,Southwest Messenger Press,Private,W,5000.0,1.0,No,southwestmessengerpress.com/category/news/news-bridgeview-independent
NP2248,Milford Herald-News,IL,Milford,Iroquois,OW1058,Joy Claire,Private,W,750.0,1.0,No,loc.gov/item/sn87082820
NP2308,Olympia Review,IL,Minier,Tazewell,OW1082,Banner Times Publications,Private,W,4498.0,1.0,No,illinoispress.org/home/tabid/105
NP2061,Dispatch,IL,Moline,Rock Island,OW5093,Lee/BH Media,Public,D,27008.0,7.0,No,loc.gov/item/sn85026214
NP2250,Momence Progress Reporter,IL,Momence,Kankakee,OW1059,Lincoln Gene,Private,W,900.0,1.0,No,momenceprogressreporter.com
NP2050,Daily Review Atlas,IL,Monmouth,Warren,OW5094,Gannett/Gatehouse,Investment,D,3159.0,5.0,No,reviewatlas.com
NP2326,Piatt County Journal-Republican,IL,Monticello,Piatt,OW0231,Community Media Group,Private,W,2672.0,1.0,No,journal-republican.com
NP9013,Herald Life,IL,Morris,Grundy,OW0754,Shaw Media,Private,W,100.0,1.0,No,liherald.com/merrick
NP2255,Morris Herald-News,IL,Morris,Grundy,OW0754,Shaw Media,Private,D,17561.0,5.0,No,shawlocal.com/morris-herald-news
NP2457,Whiteside News Sentinel,IL,Morrison,Whiteside,OW1102,WNS Publications,Private,W,2585.0,1.0,No,shawlocal.com/whiteside-news-sentinel
NP2257,Morton Courier,IL,Morton,Tazewell,OW5008,Courier Newspapers,Private,W,10000.0,1.0,No,courierpapers.com/morton_courier
NP2265,Mt Carmel Register,IL,Mount Carmel,Wabash,OW0115,Paxton Media Group,Private,D,,4.0,No,hometownregister.com
NP2002,Carroll County Mirror-Democrat,IL,Mount Carroll,Carroll,OW0961,Watson Robert,Private,W,12000.0,1.0,No,mycarrollcountynews.com
NP9021,Mount Olive Herald,IL,Mount Olive,Macoupin,OW1049,Bunker Hill Publications,Private,W,1550.0,1.0,No,newjerseyhills.com/mt_olive_chronicle
NP2266,Mt Zion Region NewsThe,IL,Mount Zion,Macon,OW5003,Arthur Publishing,Private,W,,1.0,No,newspapers.com/paper/the-mt-zion-region-news/31724
NP2058,Democrat Message,IL,Mt Sterling,Brown,OW1087,Coulson Publications,Private,W,,1.0,No,loc.gov/item/sn92054556
NP9577,Mt. Vernon Sentinel,IL,Mt Vernon,Jefferson,OW4932,,,W,,,No,morningsentinel.com/mt-vernon-sentinel
NP2273,Nashville News,IL,Nashville,Washington,OW4243,Nashville News,Private,W,5300.0,1.0,No,tennessean.com
NP2278,Neoga News,IL,Neoga,Cumberland,OW0231,Community Media Group,Private,W,900.0,1.0,No,loc.gov/item/sn90054815
NP2283,Newman Independent,IL,Newman,Douglas,OW4223,Hales Kathy,Private,W,500.0,1.0,No,newmanlibrary.org/resources/digital-materials/the-newman-independent-newspaper-archive
NP2289,Newton Press Mentor,IL,Newton,Jasper,OW5094,Gannett/Gatehouse,Investment,W,8650.0,2.0,No,pressmentor.com
NP2108,Free Press-Progress,IL,Nokomis,Montgomery,OW0984,Paddock Publications,Private,W,4050.0,1.0,No,loc.gov/item/sn91054575
NP9006,Winnetka Current,IL,Northbrook,Cook,OW4214,22nd Century Media,Private,W,6478.0,1.0,No,therecordnorthshore.org/towns/winnetka
NP9002,Northbrook Tower,IL,Northbrook,Cook,OW4214,22nd Century Media,Private,W,14236.0,1.0,No,loc.gov/item/2015202912
NP9001,Glenview Lantern,IL,Northbrook,Cook,OW4214,22nd Century Media,Private,W,14946.0,1.0,No,einpresswire.com/world-media-directory/detail/80310
NP2300,Oak Lawn Independent,IL,Oak Lawn,Cook,OW0930,Southwest Messenger Press,Private,W,76700.0,1.0,No,southwestmessengerpress.com/category/news/news-oak-lawn-independent
NP2198,Landmark,IL,Oak Park,Cook,OW4222,Bob Uphues,Private,W,3600.0,1.0,No,rblandmark.com/editorials
NP8794,Austin Weekly News,IL,Oak Park,Cook,OW1005,Wednesday Journal,Private,W,12000.0,1.0,No,austinweeklynews.com
NP2445,Wednesday Journal of Oak Park and River Forest,IL,Oak Park,Cook,OW1005,Wednesday Journal,Private,W,6850.0,1.0,No,oakpark.com
NP2301,Oak Park Leaves,IL,Oak Park,Cook,OW5101,Tribune/Digital First,Investment,W,1790.0,1.0,No,oakpark.com
NP2306,Okawville Times,IL,Okawville,Washington,OW1081,Stricker Gary,Private,W,2100.0,1.0,No,morningsentinel.com/washington-county-news
NP2307,Olney Daily Mail,IL,Olney,Richland,OW5094,Gannett/Gatehouse,Investment,D,3675.0,5.0,No,olneydailymail.com
NP9014,Oquawka Current,IL,Oquawka,Henderson,OW5094,Gannett/Gatehouse,Investment,W,205.0,1.0,No,chroniclingamerica.loc.gov/lccn/sn95066047
NP2305,Ogle County Life,IL,Oregon,Ogle,OW0186,News Media Corporation,Private,W,13000.0,1.0,No,oglecountylife.com
NP9015,Orion Gazette,IL,Orion,Henry,OW5094,Gannett/Gatehouse,Investment,W,864.0,1.0,No,oriongazette.com
NP8982,Homer Horizon,IL,Orland Park,Champaign,OW4214,22nd Century Media,Private,W,8292.0,1.0,No,homerlibrary.org/newspapers-magazines
NP9005,Tinley Junction,IL,Orland Park,Cook,OW4214,22nd Century Media,Private,W,19639.0,1.0,No,einpresswire.com/world-media-directory/detail/80409
NP9004,Orland Park Prairie,IL,Orland Park,Cook,OW4214,22nd Century Media,Private,W,22972.0,1.0,No,patch.com/illinois/orlandpark
NP9028,New Lenox Patriot,IL,Orland Park,Will,OW4214,22nd Century Media,Private,W,11275.0,1.0,No,einpresswire.com/world-media-directory/detail/80357
NP9027,Mokena Messenger,IL,Orland Park,Will,OW4214,22nd Century Media,Private,W,8353.0,1.0,No,einpresswire.com/world-media-directory/detail/80350
NP9026,Lockport Legend,IL,Orland Park,Will,OW4214,22nd Century Media,Private,W,9526.0,1.0,No,wjol.com/local-newspaper-chain-ends-15-year-run
NP2413,Times,IL,Ottawa,La Salle,OW0754,Shaw Media,Private,D,16367.0,6.0,No,nytimes.com
NP2297,Northwestern News,IL,Palmyra,Macoupin,OW0984,Paddock Publications,Private,W,1100.0,1.0,No,dailynorthwestern.com
NP2350,Regional NewsThe,IL,Palos Heights,Cook,OW5018,Southwest Community Publishing,Private,W,4095.0,1.0,No,nydailynews.com
NP2314,Pana News-Palladium,IL,Pana,Christian,OW0984,Paddock Publications,Private,W,3652.0,2.0,No,loc.gov/item/sn90054837
NP2320,Pawnee Post,IL,Pawnee,Sangamon,OW0938,South County Publications,Private,W,,1.0,No,loc.gov/item/sn90054678
NP9578,Ford County Record,IL,Paxton,Ford,OW0231,Community Media Group,,W,2490.0,,No,fordcountychronicle.com
NP2321,Paxton Record,IL,Paxton,Ford,OW1015,News Gazette,Private,W,3686.0,1.0,No,paxtonrecord.net
NP9024,Woodford Times,IL,Pekin,Peoria,OW5094,Gannett/Gatehouse,Investment,W,4819.0,1.0,No,woodfordtimes.com
NP2441,Washington Times-Reporter,IL,Pekin,Tazewell,OW5094,Gannett/Gatehouse,Investment,W,9659.0,1.0,No,washingtontimes.com
NP2260,Morton Times-News,IL,Pekin,Tazewell,OW5094,Gannett/Gatehouse,Investment,W,28210.0,1.0,No,courierpapers.com/morton_courier
NP2322,Pekin Daily Times,IL,Pekin,Tazewell,OW5094,Gannett/Gatehouse,Investment,D,8637.0,6.0,No,pekintimes.com
NP2020,Chillicothe Times-Bulletin,IL,Peoria,Peoria,OW5094,Gannett/Gatehouse,Investment,W,3220.0,1.0,No,chillicothetimesbulletin.newsbank.com
NP2183,Journal Star,IL,Peoria,Peoria,OW5094,Gannett/Gatehouse,Investment,D,50118.0,7.0,No,journalstar.com
NP2072,East Peoria Times-Courier,IL,Peoria,Tazewell,OW5094,Gannett/Gatehouse,Investment,W,1872.0,1.0,No,help.eastpeoriatimescourier.com
NP2429,Vedette,IL,Peotone,Will,OW5021,Cornerstone Media; Russell Publications,Private,W,2798.0,1.0,No,thevedette.com
NP2035,County Journal,IL,Percy,Randolph,OW0980,Willis Jerry & Larry,Private,W,7475.0,1.0,No,county-journal.com
NP2325,Petersburg Observer,IL,Petersburg,Menard,OW1055,Petersburg Observer,Private,W,3039.0,1.0,No,thepetersburgobserver.com
NP2240,Menard County Review,IL,Petersburg,Menard,OW1055,Petersburg Observer,Private,W,1512.0,1.0,No,thepetersburgobserver.com
NP2327,Pike County Express,IL,Pittsfield,Pike,OW1087,Coulson Publications,Private,W,4600.0,1.0,No,pikecountyexpress.com
NP2446,Weekly Messenger,IL,Pittsfield,Pike,OW0957,Campbell Publishing,Private,W,600.0,1.0,No,chroniclingamerica.loc.gov/lccn/sn88064454/issues
NP2328,Pike Press,IL,Pittsfield,Pike,OW0957,Campbell Publishing,Private,W,6746.0,1.0,No,rivercountynews.com
NP1989,Bugle,IL,Plainfield,Cook,OW5005,Enterprise Newspaper Corp,Private,W,10500.0,1.0,No,buglenewspapers.com
NP9435,Shorewood Sentinel,IL,Plainfield,Will,OW5005,Enterprise Newspaper Corp,Private,W,11100.0,,No,buglenewspapers.com/about
NP2086,Enterprise,IL,Plainfield,Will,OW5005,Enterprise Newspaper Corp,Private,W,39700.0,1.0,No,rivertownsenterprise.net
