id_newsdesertsphysical,outlet_name_newsdesertsphysical,state_newsdesertsphysical,city_newsdesertsphysical,county_newsdesertsphysical,owner_id_newsdesertsphysical,owner_newsdesertsphysical,owner_type_newsdesertsphysical,frequency_newsdesertsphysical,total_circulation_newsdesertsphysical,days_published_newsdesertsphysical,ethnic_media_newsdesertsphysical,url_cleaned
NP3313,Lexington Minuteman,MA,Lexington,Middlesex,OW5094,Gannett/Gatehouse,Investment,W,4143.0,1.0,No,lexington.wickedlocal.com
NP3214,Belmont Citizen-Herald,MA,Lexington,Middlesex,OW5094,Gannett/Gatehouse,Investment,W,2345.0,1.0,No,wickedlocal.com/belmontcitizenherald
NP9136,Longmeadow News,MA,Longmeadow,Hampden,OW1547,Westfield News Group,,W,1455.0,1.0,No,thereminder.com/local-news/longmeadow
NP3387,Sun,MA,Lowell,Middlesex,OW5101,Tribune/Digital First,Investment,D,21874.0,7.0,No,the-sun.com
NP3256,Daily Item,MA,Lynn,Essex,OW1513,Hastings And Sons Publishing,,D,6408.0,6.0,No,dailyitem.com
NP3319,Manchester Cricket,MA,Manchester,Essex,OW1530,Slade Jr Harry,,W,2500.0,1.0,No,thecricket.com
NP3389,Swampscott Reporter,MA,Marblehead,Essex,OW5094,Gannett/Gatehouse,Investment,W,1267.0,1.0,No,swampscott.wickedlocal.com
NP3322,Marblehead Reporter,MA,Marblehead,Essex,OW5094,Gannett/Gatehouse,Investment,W,4279.0,1.0,No,marblehead.wickedlocal.com
NP3367,Scituate Mariner,MA,Marshfield,Plymouth,OW5094,Gannett/Gatehouse,Investment,W,2732.0,1.0,No,wickedlocal.com/scituatemariner
NP3351,Pembroke Mariner,MA,Marshfield,Plymouth,OW5094,Gannett/Gatehouse,Investment,W,1275.0,1.0,No,wickedlocal.com/pembrokemariner
NP3324,Marshfield Mariner,MA,Marshfield,Plymouth,OW5094,Gannett/Gatehouse,Investment,W,4123.0,1.0,No,marshfield.wickedlocal.com
NP9589,Mashpee Enterprise,MA,Mashpee,Barnstable,OW1521,Falmouth Publishing,,W,,,No,capenews.net/mashpee
NP3403,Wanderer,MA,Mattapoisett,Plymouth,OW1524,Wanderer Communications,,W,5400.0,1.0,No,wanderer.com
NP3331,Middleboro Gazette,MA,Middleboro,Plymouth,OW5094,Gannett/Gatehouse,Investment,W,4986.0,1.0,No,southcoasttoday.com/the-gazette
NP3253,Country Gazette,MA,Milford,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,21980.0,1.0,No,wickedlocal.com/countrygazette
NP3332,Milford Daily News,MA,Milford,Worcester,OW5094,Gannett/Gatehouse,Investment,D,3896.0,7.0,No,milforddailynews.com
NP9590,Milton Times,MA,Milton,Norfolk,OW5138,Pat Desmond,,W,,,No,miltontimes.com
NP3304,Inquirer and Mirror,MA,Nantucket,Nantucket,OW5094,Gannett/Gatehouse,Investment,W,9065.0,1.0,No,ack.net
NP3434,Waltham News Tribune,MA,Needham,Middlesex,OW5094,Gannett/Gatehouse,Investment,W,2284.0,2.0,No,wickedlocal.com/waltham
NP3406,Watertown TAB,MA,Needham,Middlesex,OW5094,Gannett/Gatehouse,Investment,W,1721.0,1.0,No,wickedlocal.com/watertowntab
NP3337,Newton TAB,MA,Needham,Middlesex,OW5094,Gannett/Gatehouse,Investment,W,24626.0,1.0,No,wickedlocal.com/newtontab
NP3410,Wellesley Townsman,MA,Needham,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,4484.0,1.0,No,wickedlocal.com/wellesley
NP3335,Needham Times,MA,Needham,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,9751.0,1.0,No,wickedlocal.com/needham
NP3231,Brookline TAB,MA,Needham,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,13714.0,1.0,No,wickedlocal.com/brooklinetab
NP3197,Allston-Brighton TAB,MA,Needham,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,21845.0,1.0,No,wickedlocal.com/transcripttab
NP3412,West Roxbury Transcript,MA,Needham,Suffolk,OW5094,Gannett/Gatehouse,Investment,W,723.0,1.0,No,bulletinnewspapers.weebly.com
NP3364,Roslindale Transcript,MA,Needham,Suffolk,OW5094,Gannett/Gatehouse,Investment,W,268.0,1.0,No,wickedlocal.com/transcripttab
NP3194,Advocate,MA,New Bedford,Bristol,OW5094,Gannett/Gatehouse,Investment,W,,1.0,No,stamfordadvocate.com
NP3379,Spectator,MA,New Bedford,Bristol,OW5094,Gannett/Gatehouse,Investment,W,4443.0,1.0,No,columbiaspectator.com
NP3381,Standard-Times,MA,New Bedford,Bristol,OW5094,Gannett/Gatehouse,Investment,D,15266.0,7.0,No,southcoasttoday.com
NP3257,Daily News,MA,Newburyport,Essex,OW5092,CNHI,Investment,D,3381.0,4.0,No,nydailynews.com
NP3293,Haverhill Gazette,MA,North Andover,Essex,OW5092,CNHI,Investment,W,3882.0,1.0,No,hgazette.com
NP3266,Eagle-Tribune,MA,North Andover,Essex,OW5092,CNHI,Investment,D,9303.0,5.0,No,eagletribune.com
NP3340,North Attleboro Free Press,MA,North Attleboro,Bristol,OW5094,Gannett/Gatehouse,Investment,W,16993.0,1.0,No,wickedlocal.com/northattleborough
NP3397,Valley Advocate,MA,Northampton,Hampshire,OW1536,Newspapers of New England,,W,26297.0,1.0,No,valleyadvocate.com
NP3199,Amherst Bulletin,MA,Northampton,Hampshire,OW1536,Newspapers of New England,,W,12858.0,1.0,No,amherstbulletin.com
NP3255,Daily Hampshire Gazette,MA,Northampton,Hampshire,OW1536,Newspapers of New England,,D,14357.0,6.0,No,gazettenet.com
NP3240,Cape Codder,MA,Orleans,Barnstable,OW5094,Gannett/Gatehouse,Investment,W,7327.0,1.0,No,wickedlocal.com/brewster
NP3308,Journal Register,MA,Palmer,Hampden,OW1496,Turley Publications,,W,5200.0,1.0,No,sj-r.com
NP3409,Weekly News,MA,Peabody,Essex,OW4370,Suburban Publishing Corporation,,W,19263.0,1.0,No,theweek.com
NP3354,Pittsfield Gazette,MA,Pittsfield,Berkshire,OW1534,Levine Jonathan,,W,1500.0,1.0,No,pittsfieldgazette.com
NP3216,Berkshire Eagle,MA,Pittsfield,Berkshire,OW5056,New England Newspapers,,D,18331.0,7.0,No,berkshireeagle.com
NP3347,Old Colony Memorial,MA,Plymouth,Plymouth,OW5094,Gannett/Gatehouse,Investment,W,5708.0,2.0,No,wickedlocal.com/plymouth
NP3310,Kingston Reporter,MA,Plymouth,Plymouth,OW5094,Gannett/Gatehouse,Investment,W,1118.0,1.0,No,wickedlocal.com/kingstonreporter
NP3243,Carver Reporter,MA,Plymouth,Plymouth,OW5094,Gannett/Gatehouse,Investment,W,1077.0,1.0,No,wickedlocal.com/carver
NP9132,Provincetown Banner,MA,Provincetown,Barnstable,OW5094,Gannett/Gatehouse,Investment,W,4192.0,1.0,No,provincetownbanner.com
NP3355,Quincy Sun,MA,Quincy,Norfolk,OW1535,Bosworth Robert,,W,7000.0,1.0,No,thequincysun.com
NP3349,Patriot Ledger,MA,Quincy,Norfolk,OW5094,Gannett/Gatehouse,Investment,D,21614.0,6.0,No,patriotledger.com
NP3421,Weymouth News,MA,Randolph,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,2214.0,1.0,No,wickedlocal.com/weymouth
NP3227,Braintree Forum,MA,Randolph,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,1987.0,1.0,No,wickedlocal.com/braintree
NP9591,Transcript-TAB,MA,Randolph,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,,1.0,No,wickedlocal.com/transcripttab
NP9592,Bulletin & TAB,MA,Randolph,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,9698.0,1.0,No,journals.sagepub.com/home/bul
NP9593,Press,MA,Randolph,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,2538.0,1.0,No,nypress.com
NP9594,Times Advocate,MA,Randolph,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,2519.0,1.0,No,times-advocate.com
NP9595,Transcript & Bulletin,MA,Randolph,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,2110.0,1.0,No,tooeleonline.com
NP9596,Village News,MA,Randolph,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,4949.0,1.0,No,thevillagesun.com
NP9597,Tewksbury-Wilmington Advocate,MA,Randolph,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,2238.0,1.0,No,wickedlocal.com/story/tewksbury-wilmington-advocate/2007/10/02/welcome-to-wicked-local-tewksbury/38481485007
NP3252,Concord Journal,MA,Randolph,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,4524.0,1.0,No,townonline.com/concord
NP9598,Eagle-Independent,MA,Randolph,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,4794.0,1.0,No,wickedlocal.com/eagleindy
NP9599,Observer-Advocate,MA,Randolph,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,4062.0,1.0,No,wickedlocal.com/freepressobserver
NP9600,Herald Citizen,MA,Randolph,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,1887.0,1.0,No,herald-citizen.com
NP9601,Chronicle & Transcript,MA,Randolph,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,5950.0,1.0,No,biblegateway.com/passage
NP9602,Record Citizen,MA,Randolph,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,3450.0,1.0,No,wickedlocal.com/recordcitizen
NP9603,Mariner,MA,Randolph,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,5434.0,1.0,No,wickedlocal.com/mariner
NP9604,Journal & Sun,MA,Randolph,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,25754.0,1.0,No,sunjournal.com
NP9605,Courier & Sentinel,MA,Randolph,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,2201.0,1.0,No,centralwinews.com/courier-sentinel
NP9606,Journal-News Independent,MA,Randolph,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,5022.0,1.0,No,wickedlocal.com/journalnewsindependent
NP9607,Sun Advocate,MA,Randolph,Norfolk,OW5094,Gannett/Gatehouse,Investment,W,7937.0,1.0,No,etvnews.com/tag/sun-advocate
NP3316,Lynn Journal,MA,Revere,Essex,OW1508,Independent Newspaper Group MA,,W,10000.0,1.0,No,lynnjournal.com
NP3273,Everett Independent,MA,Revere,Middlesex,OW1508,Independent Newspaper Group MA,,W,12500.0,1.0,No,everettindependent.com
NP9146,Back Bay Sun,MA,Revere,Suffolk,OW4375,Karen Cord Taylor,,W,0.0,1.0,No,thebostonsun.com
NP8856,Winthrop Sun-Transcript,MA,Revere,Suffolk,OW1508,Independent Newspaper Group MA,,W,4300.0,1.0,No,winthroptranscript.com
NP3363,Revere Journal,MA,Revere,Suffolk,OW1508,Independent Newspaper Group MA,,W,7500.0,1.0,No,reverejournal.com
NP3267,East Boston Times,MA,Revere,Suffolk,OW1508,Independent Newspaper Group MA,,W,8000.0,1.0,No,eastietimes.com
NP3246,Chelsea Record,MA,Revere,Suffolk,OW1508,Independent Newspaper Group MA,,W,4500.0,1.0,No,chelsearecord.com
NP9134,Town Common,MA,Rowley,Essex,OW4371,Marc Maravalli,,W,0.0,1.0,No,thetowncommon.com
NP3365,Salem Evening News,MA,Salem,Essex,OW5092,CNHI,Investment,D,20419.0,7.0,No,salemnews.com
NP9608,Sandwich Enterprise,MA,Sandwich,Barnstable,OW1521,Falmouth Publishing,,W,,,No,capenews.net/sandwich
NP3376,Somerville Journal,MA,Somerville,Middlesex,OW5094,Gannett/Gatehouse,Investment,W,1709.0,1.0,No,somerville.wickedlocal.com
NP3233,Cambridge Chronicle and TAB,MA,Somerville,Middlesex,OW5094,Gannett/Gatehouse,Investment,W,11050.0,1.0,No,wickedlocal.com/cambridgechronicle
NP9141,Town Reminder,MA,South Hadley,Hampshire,OW1496,Turley Publications,,W,12000.0,1.0,No,townreminder.turley.com
NP3380,Spencer New Leader,MA,Southbridge,Worcester,OW0668,Stonebridge Press,,W,17200.0,1.0,No,stonebridgepress.com
NP3220,Blackstone Valley Tribune,MA,Southbridge,Worcester,OW0668,Stonebridge Press,,W,15000.0,1.0,No,stonebridgepress.com/pdfsource/publicpdfarchives
NP3205,Auburn News,MA,Southbridge,Worcester,OW0668,Stonebridge Press,,W,1608.0,1.0,No,auburnpub.com
NP3408,Webster Times,MA,Southbridge,Worcester,OW0668,Stonebridge Press,,W,32200.0,1.0,No,stonebridgepress.com/pdfsource/publicpdfarchives
NP3378,Southbridge Evening News,MA,Southbridge,Worcester,OW0668,Stonebridge Press,,D,4500.0,5.0,No,stonebridgepress.com/pdfsource/publicpdfarchives
NP3362,Republican,MA,Springfield,Hampden,OW0031,Advance Publications,Private,D,87008.0,7.0,No,masslive.com/news
NP3382,Stoneham Independent,MA,Stoneham,Middlesex,OW1539,Woburn Daily Times,,W,3500.0,1.0,No,stonehamonline.com
NP3390,Taunton Daily Gazette,MA,Taunton,Bristol,OW5094,Gannett/Gatehouse,Investment,D,4629.0,7.0,No,tauntongazette.com
NP3326,Martha's Vineyard Times,MA,Vineyard Haven,Dukes,OW1531,Cabral Doug,,W,16250.0,1.0,No,mvtimes.com
NP3317,Lynnfield Villager,MA,Wakefield,Essex,OW1529,Great Oak Publications,,W,1822.0,1.0,No,localheadlinenews.com/lynnfield-villager
NP3341,North Reading Transcript,MA,Wakefield,Middlesex,OW1529,Great Oak Publications,,W,4290.0,1.0,No,localheadlinenews.com/north-reading-transcript
NP3400,Wakefield Daily Item,MA,Wakefield,Middlesex,OW4372,Wakefield Item,,D,4556.0,5.0,No,localheadlinenews.com/wakefield-daily-item
NP3404,Ware River News,MA,Ware,Hampshire,OW1496,Turley Publications,,W,4429.0,1.0,No,warerivernews.turley.com
NP3202,Armenian Weekly,MA,Watertown,Middlesex,OW1493,ARF Publications,,W,2550.0,1.0,Yes,armenianweekly.com
NP3413,West Springfield Record,MA,West Springfield,Hampden,OW1546,Coburn-Gill Marie,,W,5600.0,1.0,No,thereminder.com/local-news/west-springfield
NP3251,Community Advocate,MA,Westborough,Worcester,OW1511,Bagdon Advertising,,W,21194.0,1.0,No,communityadvocate.com
NP3415,Westfield News,MA,Westfield,Hampden,OW1547,Westfield News Group,,D,4600.0,6.0,No,patch.com/new-jersey/westfield
NP3418,Westport Shorelines,MA,Westport,Bristol,OW1548,East Bay Newspapers,,W,2600.0,1.0,No,eastbayri.com/westport/eeditions
NP3425,Winchendon Courier,MA,Winchendon,Worcester,OW0668,Stonebridge Press,,W,1620.0,1.0,No,winchendoncourier.net
NP3393,Town Crier,MA,Woburn,Middlesex,OW1539,Woburn Daily Times,,W,6500.0,1.0,No,gotowncrier.com/category/issues
NP3258,Daily Times Chronicle,MA,Woburn,Middlesex,OW1539,Woburn Daily Times,,D,10872.0,5.0,No,homenewshere.com/daily_times_chronicle
NP3428,Worcester Magazine,MA,Worcester,Worcester,OW4378,Kathy Real,,W,22877.0,1.0,No,worcestermag.com
NP3391,Telegram and Gazette,MA,Worcester,Worcester,OW5094,Gannett/Gatehouse,Investment,D,43250.0,7.0,No,telegram.com
NP9150,Crofton-West County Gazette,MD,Annapolis,Anne Arundel,OW5101,Tribune/Digital First,Investment,W,0.0,1.0,No,capitalgazette.com
NP8834,Maryland Gazette,MD,Annapolis,Anne Arundel,OW5101,Tribune/Digital First,Investment,W,18263.0,1.0,No,capitalgazette.com
NP8798,Bay Weekly,MD,Annapolis,Anne Arundel,OW3984,Sandra Martin,,W,17000.0,1.0,No,bayweekly.com
NP3457,Capital,MD,Annapolis,Anne Arundel,OW5101,Tribune/Digital First,Investment,D,28272.0,7.0,No,capitalgazette.com
NP3451,Bowie Blade-News,MD,Annapolis,Prince George's,OW5101,Tribune/Digital First,Investment,W,35000.0,1.0,No,capitalgazette.com/location/maryland/prince-georges-county/bowie
NP3439,Annapolis Times,MD,Baltimore,Anne Arundel,OW1556,Joy Bramble,,W,3975.0,1.0,No,capitalgazette.com
NP3527,Towson Times,MD,Baltimore,Baltimore,OW5101,Tribune/Digital First,Investment,W,34341.0,1.0,No,baltimoresun.com/author/towson-times
NP3459,Catonsville Times,MD,Baltimore,Baltimore,OW5101,Tribune/Digital First,Investment,W,2952.0,1.0,No,baltimoresun.com/location/maryland/baltimore-county/catonsville
NP3440,Arbutus Times,MD,Baltimore,Baltimore,OW5101,Tribune/Digital First,Investment,W,1568.0,1.0,No,patch.com/maryland/arbutus
NP3462,City Paper,MD,Baltimore,Baltimore city,OW5101,Tribune/Digital First,Investment,W,80000.0,1.0,No,thecity.nyc
NP3447,Baltimore Times,MD,Baltimore,Baltimore city,OW1556,Joy Bramble,,W,19975.0,1.0,No,baltimoretimes-online.com
NP3437,Afro American,MD,Baltimore,Baltimore city,OW0498,John J Oliver,,W,5948.0,1.0,No,afro.com
NP3446,Baltimore Sun,MD,Baltimore,Baltimore city,OW5101,Tribune/Digital First,Investment,D,99765.0,7.0,No,baltimoresun.com
NP3497,Laurel Leader,MD,Baltimore,Prince George's,OW5101,Tribune/Digital First,Investment,W,30512.0,1.0,No,baltimoresun.com/explore/howard/publications/laurel-leader
NP3436,Aegis,MD,Bel Air,Allegany,OW5101,Tribune/Digital First,Investment,W,18267.0,2.0,No,baltimoresun.com/explore/harford/publications/the-aegis
NP3528,Weekender,MD,Bel Air,Harford,OW5101,Tribune/Digital First,Investment,W,87000.0,1.0,No,theweekender.com
NP3535,Bayside Gazette,MD,Berlin,Worcester,OW1581,Ocean City Today,,W,10000.0,1.0,No,baysideoc.com
NP8833,Maryland Coast-Dispatch,MD,Berlin,Worcester,OW4380,Green J Steven,,W,25500.0,1.0,No,mdcoastdispatch.com
NP3474,Dorchester Star,MD,Cambridge,Dorchester,OW4114,Adams Publishing Group,Private,W,10000.0,1.0,No,myeasternshoremd.com/dorchester_star
NP3448,Banner,MD,Cambridge,Dorchester,OW0166,Independent Newsmedia,,W,1530.0,2.0,No,thebannercsi.com
NP3517,Queen Anne's Record-Observer,MD,Centreville,Queen Anne's,OW4114,Adams Publishing Group,Private,W,5000.0,1.0,No,myeasternshoremd.com/qa/record_observer
NP3493,Kent County News,MD,Chestertown,Kent,OW4114,Adams Publishing Group,Private,W,7518.0,1.0,No,myeasternshoremd.com/kent_county_news
NP3489,Howard County Times,MD,Columbia,Howard,OW5101,Tribune/Digital First,Investment,W,14108.0,1.0,No,baltimoresun.com/location/maryland/howard-county
NP3465,Columbia Flier,MD,Columbia,Howard,OW5101,Tribune/Digital First,Investment,W,34856.0,1.0,No,marylandreporter.com/2023/06/29/sun-kills-columbia-flier-newspaper
NP3469,Crisfield-Somerset County Times,MD,Crisfield,Somerset,OW0166,Independent Newsmedia,,W,1093.0,1.0,No,baytobaynews.com/somerset
NP3536,Garrett County Weekender,MD,Cumberland,Allegany,OW1582,Larry Effingham,,W,18100.0,1.0,No,mygarrettcounty.com/resources/listing/garrett-county-weekender
NP3471,Cumberland Times-News,MD,Cumberland,Allegany,OW5092,CNHI,Investment,D,20481.0,7.0,No,times-news.com
NP3525,Times Record,MD,Denton,Caroline,OW4114,Adams Publishing Group,Private,W,4200.0,1.0,No,recordonline.com
NP3475,Dundalk Eagle,MD,Dundalk,Baltimore,OW4114,Adams Publishing Group,Private,W,18000.0,1.0,No,dundalkeagle.com
NP3523,Star-Democrat,MD,Easton,Talbot,OW4114,Adams Publishing Group,Private,D,15284.0,6.0,No,stardem.com
NP3460,Cecil Whig,MD,Elkton,Cecil,OW4114,Adams Publishing Group,Private,W,12163.0,3.0,No,cecildaily.com
NP9153,Newark Post,MD,Elkton,Worcester,OW2802,American Consolidated Media,,W,12500.0,1.0,No,newarkpostonline.com
NP3442,Avenue News,MD,Essex,Baltimore,OW4114,Adams Publishing Group,Private,W,55423.0,1.0,No,avenuenews.com
NP3480,Frederick News-Post,MD,Frederick,Frederick,OW1564,Randall Family,,D,23815.0,7.0,No,fredericknewspost.com
NP3486,Greenbelt News Review,MD,Greenbelt,Prince George's,OW1565,Greenbelt News Review,,W,9480.0,1.0,No,greenbeltnewsreview.com
NP3488,Herald-Mail,MD,Hagerstown,Washington,OW5094,Gannett/Gatehouse,Investment,D,23637.0,7.0,No,cm.heraldmailmedia.com/about-your-subscription
NP3487,Hancock News,MD,Hancock,Washington,OW4379,Hancock News,,W,1800.0,1.0,No,thehancocknews.com/archives
NP3518,Record,MD,Havre De Grace,Harford,OW5101,Tribune/Digital First,Investment,W,1728.0,1.0,No,northjersey.com
NP3478,Enterprise,MD,Lexington Park,St. Mary's,OW4114,Adams Publishing Group,Private,W,11260.0,2.0,No,rivertownsenterprise.net
NP3500,Middletown Valley Citizen,MD,Middletown,Frederick,OW1568,Citizens Communications,,W,2161.0,1.0,No,middletown.md.us/index.asp
NP3519,Republican,MD,Oakland,Garrett,OW1576,Sincell Donald,,W,7247.0,1.0,No,therepublicannews.com
NP3455,Calvert Recorder,MD,Prince Frederick,Calvert,OW4114,Adams Publishing Group,Private,W,10500.0,2.0,No,somdnews.com/recorder
NP3522,Somerset Herald,MD,Princess Anne,Somerset,OW5094,Gannett/Gatehouse,Public,W,4000.0,1.0,No,somersetherald.com
NP3501,Montgomery County Sentinel,MD,Rockville,Montgomery,OW1574,Kapiloff Lynn,,W,10000.0,1.0,No,thesentinel.com
NP9152,Salisbury Independent,MD,Salisbury,Wicomico,OW0166,Independent Newsmedia,,W,20000.0,1.0,No,baytobaynews.com/wicomico
NP3472,Daily Times,MD,Salisbury,Wicomico,OW5094,Gannett/Gatehouse,Public,D,11998.0,7.0,No,delmarvanow.com
NP3516,Prince George's Sentinel,MD,Seabrook,Prince George's,OW1574,Kapiloff Lynn,,W,24000.0,1.0,No,thesentinel.com/communities/prince_george
NP3449,Bay Times,MD,Stevensville,Queen Anne's,OW4114,Adams Publishing Group,Private,W,6106.0,1.0,No,myeasternshoremd.com/qa/bay_times
NP3491,Jeffersonian,MD,Towson,Baltimore City,OW5101,Tribune/Digital First,Investment,W,830.0,2.0,No,loc.gov/item/sn83031324
NP3477,Enquirer-Gazette,MD,Waldorf,Prince George's,OW4114,Adams Publishing Group,Private,W,2475.0,1.0,No,somdnews.com/enquirer_gazette
NP3466,Community Times,MD,Westminster,Carroll,OW5101,Tribune/Digital First,Investment,W,12000.0,1.0,Yes,carrollcountytimes.com
NP3458,Carroll County Times,MD,Westminster,Carroll,OW5101,Tribune/Digital First,Investment,D,18644.0,7.0,No,carrollcounty.com
NP3498,Maryland Independent,MD,White Plains,Charles,OW4114,Adams Publishing Group,Private,W,15140.0,2.0,No,somdnews.com/independent
NP3568,Kennebec Journal,ME,Augusta,Kennebec,OW4382,MaineToday Media,,D,8878.0,7.0,No,kjonline.com
NP9159,Maine Edge,ME,Bangor,Penobscot,OW4387,Edge Media Group,,W,18500.0,1.0,No,themaineedge.com
NP3540,Bangor Daily News,ME,Bangor,Penobscot,OW1586,Bangor Publishing,,D,34763.0,6.0,No,bangordailynews.com
NP8835,Mount Desert Islander,ME,Bar Harbor,Hancock,OW1601,Ellsworth American,,W,2486.0,1.0,No,mdislander.com
NP3580,Republican Journal,ME,Belfast,Waldo,OW4385,Village NetMedia,,W,8162.0,1.0,No,republicanjournal.com
NP3542,Bethel Citizen,ME,Bethel,Oxford,OW1588,CS Publishing,,W,3600.0,1.0,No,bethelcitizen.com
NP9155,South Portland-Cape/Elizabeth Sentry,ME,Biddeford,Cumberland,OW1589,Mainely Media,,W,0.0,1.0,No,pressherald.com/mainely-media/south-portland-sentry
NP3543,Biddeford Courier,ME,Biddeford,York,OW1589,Mainely Media,,W,22500.0,1.0,No,pressherald.com/mainely-media/biddeford-saco-oob-courier
NP3566,Journal Tribune,ME,Biddeford,York,OW2992,Sample Media Group,,D,6700.0,6.0,No,journaltribune.com
NP3592,Weekly Packet,ME,Blue Hill,Hancock,OW1595,Penobscot Bay Press,,W,1632.0,1.0,No,penobscotbaypress.com/the-weekly-packet
NP3551,Castine Patriot,ME,Blue Hill,Hancock,OW1595,Penobscot Bay Press,,W,729.0,1.0,No,penobscotbaypress.com/castine-patriot
NP3594,Wiscasset Newspaper,ME,Boothbay Harbor,Lincoln,OW1590,Maine-OK Enterprises,,W,713.0,1.0,No,wiscassetnewspaper.com
NP3544,Boothbay Register,ME,Boothbay Harbor,Lincoln,OW1590,Maine-OK Enterprises,,W,3855.0,1.0,No,theportholeonline.com
NP3545,Bridgton News,ME,Bridgton,Cumberland,OW4381,Rivet Wayne,,W,6500.0,1.0,No,bridgton.com
NP3589,Times Record,ME,Brunswick,Cumberland,OW2992,Sample Media Group,,D,7200.0,5.0,No,timesrecord.com
NP3546,Bucksport Enterprise,ME,Bucksport,Hancock,OW1592,Houghton Don,,W,2300.0,1.0,No,bucksportenterprise.com
NP3547,Calais Advertiser,ME,Calais,Washington,OW1593,Calais Advertiser,,W,3215.0,1.0,No,calais.news
NP3539,Aroostook Republican and News,ME,Caribou,Aroostook,OW1586,Bangor Publishing,,W,3142.0,1.0,No,thecounty.me
NP3557,Eastern Gazette,ME,Dexter,Penobscot,OW1600,Shank Robert,,W,17000.0,1.0,No,easterngazette.com
NP3577,Piscataquis ObserverThe,ME,Dover Foxcroft,Piscataquis,OW1586,Bangor Publishing,,W,4000.0,1.0,No,observer-me.com
NP3558,Ellsworth American,ME,Ellsworth,Hancock,OW1601,Ellsworth American,,W,8795.0,1.0,No,ellsworthamerican.com
NP3560,Forecaster,ME,Falmouth,Cumberland,OW4382,MaineToday Media,,W,60000.0,3.0,No,theforecaster.net
NP3538,American Journal,ME,Falmouth,Cumberland,OW1584,Current Publishing,,W,8156.0,1.0,No,americanjournalnews.com
NP3553,Community Advertiser,ME,Farmingdale,Kennebec,OW1597,Peters Keith,,W,15000.0,1.0,No,winthropchamber.org/directory/community-advertiser
NP3562,Franklin Journal,ME,Farmington,Hancock,OW4382,MaineToday Media,,W,2500.0,2.0,No,sunjournal.com/weeklies/the-franklin-journal
NP3564,Houlton Pioneer Times,ME,Houlton,Aroostook,OW1586,Bangor Publishing,,W,5386.0,1.0,No,thecounty.me
NP9157,Original Irregular,ME,Kingfield,Franklin,OW4383,Heidi Murphy,,W,3600.0,1.0,No,theirregular.com
NP3588,Sun Journal,ME,Lewiston,Androscoggin,OW4382,MaineToday Media,,D,19316.0,7.0,No,sunjournal.com
NP3571,Lincoln News,ME,Lincoln,Penobscot,OW1610,Tenggren Family,,W,6469.0,1.0,No,lincnews.com
NP3572,Livermore Falls Advertiser,ME,Livermore Falls,Androscoggin,OW4382,MaineToday Media,,W,3000.0,1.0,No,sunjournal.com/weeklies/livermore-falls-advertiser
NP3573,Machias Valley News Observer,ME,Machias,Washington,OW1611,Patricia Townsend,,W,3041.0,1.0,No,machiasnews.com
NP3586,St. John Valley Times,ME,Madawaska,Aroostook,OW0047,Cleveland Newspapers,,W,4415.0,1.0,No,fiddleheadfocus.com
NP3570,Lincoln County News,ME,Newcastle,Lincoln,OW1609,Lincoln County Publishers,,W,9000.0,1.0,No,lincolncountynewsonline.com
NP3581,Rolling Thunder Express,ME,Newport,Penobscot,OW1613,Angel Silvia,,W,16200.0,1.0,No,rollingthunderexpress.com
NP3537,Advertiser Democrat,ME,Norway,Oxford,OW4382,MaineToday Media,,W,4100.0,1.0,No,advertiserdemocrat.com
NP3576,Penobscot Times,ME,Old Town,Penobscot,OW4382,MaineToday Media,,W,4500.0,1.0,No,thepenobscottimes.com
NP3578,Portland Press Herald/Maine Sunday Telegram,ME,Portland,Cumberland,OW4382,MaineToday Media,,D,37956.0,7.0,No,pressherald.com
NP3579,Presque Isle Star-Herald,ME,Presque Isle,Aroostook,OW1586,Bangor Publishing,,W,7552.0,1.0,No,thecounty.me
NP9452,Courier Gazette,ME,Rockland,Knox,OW4386,Courier Publications,Private,W,,,No,knox.villagesoup.com/p/the-courier-gazette/802345
